packet_index,time_boot_ms,lat_deg,lon_deg,alt_m,relative_alt_m,heading_deg,vx_mps,vy_mps,vz_mps
12,3370647,63.441006,10.3489503,19.64,12.782,230.71,-0.5,-0.57,-0.01
27,3370687,63.4410059,10.3489498,19.64,12.782,230.62,-0.5,-0.58,0.0
32,3370727,63.4410057,10.3489493,19.64,12.781,230.53,-0.5,-0.58,0.01
44,3370747,63.4410056,10.3489491,19.63,12.779,230.47,-0.5,-0.58,0.01
56,3370787,63.4410054,10.3489486,19.63,12.776,230.35,-0.5,-0.58,0.02
63,3370827,63.4410052,10.3489481,19.63,12.773,230.22,-0.51,-0.58,0.02
75,3370847,63.4410051,10.3489479,19.63,12.772,230.15,-0.51,-0.57,0.02
90,3370887,63.4410049,10.3489474,19.63,12.77,230.01,-0.51,-0.57,0.01
95,3370927,63.4410048,10.348947,19.62,12.769,229.88,-0.51,-0.56,0.0
107,3370947,63.4410047,10.3489467,19.63,12.77,229.82,-0.51,-0.55,0.0
121,3370987,63.4410045,10.3489463,19.63,12.772,229.73,-0.51,-0.54,0.0
126,3371027,63.4410043,10.3489458,19.63,12.775,229.67,-0.51,-0.53,-0.02
138,3371047,63.4410042,10.3489456,19.63,12.778,229.65,-0.52,-0.53,-0.02
152,3371087,63.441004,10.3489451,19.64,12.784,229.63,-0.52,-0.52,-0.03
157,3371127,63.4410038,10.3489447,19.64,12.789,229.65,-0.52,-0.51,-0.03
169,3371147,63.4410037,10.3489445,19.65,12.792,229.66,-0.52,-0.51,-0.03
183,3371187,63.4410035,10.3489441,19.65,12.798,229.7,-0.52,-0.5,-0.02
189,3371227,63.4410034,10.3489437,19.66,12.802,229.75,-0.53,-0.49,-0.01
202,3371248,63.4410033,10.3489435,19.66,12.803,229.78,-0.53,-0.49,-0.01
215,3371287,63.4410031,10.348943,19.66,12.805,229.85,-0.53,-0.48,0.0
219,3371307,63.441003,10.3489429,19.66,12.805,229.88,-0.53,-0.48,0.01
232,3371347,63.4410028,10.3489425,19.66,12.805,229.96,-0.54,-0.47,0.03
248,3371387,63.4410026,10.3489421,19.66,12.802,230.05,-0.54,-0.47,0.06
252,3371407,63.4410025,10.3489419,19.66,12.801,230.1,-0.54,-0.47,0.07
266,3371447,63.4410023,10.3489415,19.65,12.797,230.21,-0.54,-0.46,0.09
279,3371487,63.4410021,10.3489411,19.65,12.793,230.33,-0.55,-0.46,0.11
283,3371507,63.441002,10.3489409,19.65,12.79,230.4,-0.55,-0.45,0.12
297,3371547,63.4410018,10.3489405,19.64,12.786,230.54,-0.55,-0.45,0.14
311,3371587,63.4410016,10.3489401,19.64,12.783,230.68,-0.55,-0.45,0.15
315,3371607,63.4410015,10.3489399,19.64,12.781,230.76,-0.56,-0.45,0.15
329,3371647,63.4410013,10.3489395,19.63,12.778,230.92,-0.56,-0.45,0.15
342,3371687,63.4410011,10.3489392,19.63,12.777,231.09,-0.56,-0.45,0.15
356,3371707,63.441001,10.348939,19.63,12.776,231.18,-0.56,-0.45,0.15
371,3371747,63.4410008,10.3489386,19.63,12.774,231.36,-0.56,-0.45,0.15
374,3371787,63.4410006,10.3489382,19.63,12.775,231.55,-0.56,-0.45,0.14
388,3371807,63.4410005,10.348938,19.63,12.775,231.65,-0.56,-0.44,0.13
391,3371847,63.4410003,10.3489377,19.63,12.775,231.83,-0.56,-0.44,0.12
408,3371887,63.4410001,10.3489373,19.63,12.775,232.02,-0.57,-0.44,0.1
412,3371907,63.441,10.3489371,19.63,12.775,232.11,-0.57,-0.44,0.09
426,3371947,63.4409998,10.3489367,19.63,12.774,232.29,-0.57,-0.44,0.08
429,3371967,63.4409997,10.3489366,19.63,12.774,232.38,-0.57,-0.44,0.07
443,3372007,63.4409995,10.3489362,19.63,12.773,232.55,-0.57,-0.44,0.05
456,3372047,63.4409993,10.3489358,19.63,12.771,232.73,-0.57,-0.44,0.04
460,3372067,63.4409992,10.3489356,19.63,12.77,232.82,-0.57,-0.44,0.03
474,3372107,63.440999,10.3489353,19.62,12.768,233.0,-0.56,-0.44,0.02
487,3372147,63.4409988,10.3489349,19.62,12.765,233.19,-0.55,-0.45,0.0
491,3372167,63.4409987,10.3489347,19.62,12.763,233.28,-0.55,-0.45,0.0
