latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44059106,10.34851140,-2.790,3.945,1.156,35626,0.050,2026-04-22T15:58:11.899Z,"",7035388.259,567270.344,UTM zone 32N
63.44058454,10.34850711,-2.635,3.218,0.942,35626,0.050,2026-04-22T15:58:11.899Z,"",7035387.528,567270.146,UTM zone 32N
63.44059114,10.34851177,-2.768,3.954,1.175,35627,0.100,2026-04-22T15:58:11.949Z,"",7035388.269,567270.362,UTM zone 32N
63.44058462,10.34850746,-2.618,3.227,0.960,35627,0.100,2026-04-22T15:58:11.949Z,"",7035387.538,567270.163,UTM zone 32N
63.44059088,10.34851158,-2.814,3.925,1.166,35628,0.150,2026-04-22T15:58:11.999Z,"",7035388.239,567270.354,UTM zone 32N
63.44058437,10.34850733,-2.655,3.198,0.954,35628,0.150,2026-04-22T15:58:11.999Z,"",7035387.509,567270.157,UTM zone 32N
63.44096343,10.34886039,-2.785,45.452,18.574,35629,0.200,2026-04-22T15:58:12.049Z,18.925,7035430.110,567286.878,UTM zone 32N
63.44095698,10.34885613,-2.544,44.734,18.361,35629,0.200,2026-04-22T15:58:12.049Z,19.166,7035429.387,567286.681,UTM zone 32N
63.44096359,10.34886066,-2.756,45.471,18.587,35630,0.250,2026-04-22T15:58:12.099Z,18.954,7035430.128,567286.891,UTM zone 32N
63.44095674,10.34885620,-2.579,44.706,18.365,35630,0.250,2026-04-22T15:58:12.099Z,19.131,7035429.360,567286.685,UTM zone 32N
63.44096326,10.34886098,-2.805,45.434,18.603,35631,0.300,2026-04-22T15:58:12.149Z,18.905,7035430.092,567286.908,UTM zone 32N
63.44096337,10.34886110,-2.789,45.445,18.609,35632,0.350,2026-04-22T15:58:12.199Z,18.921,7035430.104,567286.914,UTM zone 32N
63.44096215,10.34886066,-2.790,45.310,18.587,35633,0.400,2026-04-22T15:58:12.249Z,18.920,7035429.967,567286.894,UTM zone 32N
63.44096171,10.34886025,-2.866,45.261,18.567,35634,0.450,2026-04-22T15:58:12.299Z,18.844,7035429.918,567286.875,UTM zone 32N
63.44096201,10.34886029,-2.908,45.294,18.569,35635,0.480,2026-04-22T15:58:12.329Z,18.792,7035429.952,567286.876,UTM zone 32N
63.44096191,10.34885965,-2.939,45.283,18.537,35636,0.550,2026-04-22T15:58:12.399Z,18.761,7035429.940,567286.845,UTM zone 32N
63.44096221,10.34885955,-2.917,45.316,18.532,35637,0.600,2026-04-22T15:58:12.449Z,18.783,7035429.973,567286.839,UTM zone 32N
63.44096248,10.34885881,-2.894,45.347,18.495,35638,0.650,2026-04-22T15:58:12.499Z,18.806,7035430.003,567286.801,UTM zone 32N
63.44096290,10.34885873,-2.999,45.394,18.491,35639,0.700,2026-04-22T15:58:12.549Z,18.701,7035430.050,567286.796,UTM zone 32N
63.44096328,10.34885800,-2.973,45.427,18.451,35640,0.750,2026-04-22T15:58:12.599Z,18.727,7035430.091,567286.759,UTM zone 32N
