ping_number,pwr_up_msec,time_boot_ms_x,sonar_x,sonar_y,time_boot_ms_y,yaw_rad,pitch_rad,sonar_z
39789,5545139,5545127,55.21389389038086,21.24285316467285,5545127,0.3228164613246918,0.000412110297475,0.0
39790,5545189,5545187,55.25238800048828,21.265417098999023,5545187,0.3221760392189026,0.0149831585586071,0.0
39791,5545239,5545227,55.2784309387207,21.28086471557617,5545227,0.3217576444149017,0.0259770005941391,0.0
39792,5545289,5545287,55.316497802734375,21.303524017333984,5545287,0.3209336102008819,0.0420003049075603,0.0
39793,5545339,5545327,55.341888427734375,21.31856918334961,5545327,0.3199851214885711,0.0508533455431461,0.0
39794,5545389,5545387,55.38029861450195,21.3408260345459,5545387,0.3178119957447052,0.0597764067351818,0.0
39795,5545439,5545427,55.406436920166016,21.35531044006348,5545427,0.3158840239048004,0.062413927167654,0.0
39796,5545489,5545487,55.4471549987793,21.37660789489746,5545487,0.3126939535140991,0.0612510852515697,0.0
39797,5545539,5545527,55.47361373901367,21.38993453979492,5545527,0.3106166124343872,0.0576452575623989,0.0
39798,5545589,5545587,55.51277542114258,21.40898704528809,5545587,0.3080388307571411,0.0497376956045627,0.0
39799,5545639,5545647,55.552059173583984,21.42717170715332,5545647,0.3062195777893066,0.0413054563105106,0.0
39800,5545689,5545687,55.57818603515625,21.438861846923828,5545687,0.3055499792098999,0.0367704518139362,0.0
39801,5545739,5545747,55.6164665222168,21.4561710357666,5545747,0.3052181005477905,0.0326195620000362,0.0
39802,5545789,5545787,55.64231872558594,21.467803955078125,5545787,0.3052722215652466,0.0319703742861747,0.0
39803,5545839,5545847,55.68006896972656,21.484643936157227,5545847,0.3054399192333221,0.0336517803370952,0.0
39804,5545889,5545887,55.705345153808594,21.49584579467773,5545887,0.3055272400379181,0.0361287705600261,0.0
39805,5545939,5545947,55.74360656738281,21.512407302856445,5545947,0.3055303990840912,0.0402969494462013,0.0
39806,5545989,5545987,55.76939392089844,21.52343368530273,5545987,0.3056122660636902,0.0424728617072105,0.0
39807,5546039,5546047,55.80852127075195,21.540082931518555,5546047,0.3061393201351166,0.0432186797261238,0.0
39808,5546089,5546087,55.835594177246094,21.551572799682617,5546087,0.3068338334560394,0.0416314117610454,0.0
39809,5546139,5546147,55.875267028808594,21.56893920898437,5546147,0.3085062503814697,0.036018144339323,0.0
39810,5546189,5546187,55.90191650390625,21.580642700195312,5546187,0.3101086914539337,0.0306421667337417,0.0
39811,5546239,5546247,55.94233322143555,21.598127365112305,5546247,0.3131426274776459,0.0209729857742786,0.0
39812,5546289,5546287,55.96949768066406,21.60974884033203,5546287,0.3155034780502319,0.0142923332750797,0.0
39813,5546339,5546347,56.010196685791016,21.62744903564453,5546347,0.319452166557312,0.0051955040544271,0.0
39814,5546389,5546387,56.03673553466797,21.63905906677246,5546387,0.3221316039562225,0.0007735307444818,0.0
39815,5546439,5546447,56.0767936706543,21.656513214111328,5546447,0.3263548016548157,-0.0030848360620439,0.0
39816,5546489,5546487,56.10354232788086,21.668237686157227,5546487,0.3293706178665161,-0.0035847914405167,0.0
39817,5546539,5546547,56.14289855957031,21.6861515045166,5546547,0.3343094289302826,-0.0008126928587444,0.0
39818,5546589,5546587,56.168792724609375,21.69840240478516,5546587,0.3378376364707947,0.0034588081762194,0.0
39819,5546639,5546647,56.20790481567383,21.7175350189209,5546647,0.3434196412563324,0.0136295482516288,0.0
39820,5546689,5546687,56.2332763671875,21.73038673400879,5546687,0.346927285194397,0.0223941970616579,0.0
39821,5546739,5546747,56.27081298828125,21.74982070922852,5546747,0.3515653014183044,0.0371790640056133,0.0
39822,5546789,5546787,56.29552459716797,21.762624740600582,5546787,0.3539665043354034,0.0469290390610694,0.0
39823,5546839,5546847,56.332794189453125,21.78232765197754,5546847,0.3565088510513305,0.0594377145171165,0.0
39824,5546889,5546887,56.357872009277344,21.795801162719727,5546887,0.3574845492839813,0.0651318058371543,0.0
39825,5546939,5546947,56.395652770996094,21.81601333618164,5546947,0.3578317165374756,0.0676364079117775,0.0
39826,5546989,5547007,56.43342590332031,21.83598518371582,5547007,0.3570863902568817,0.0620077885687351,0.0
39827,5547039,5547047,56.45937347412109,21.84953498840332,5547047,0.3561862409114837,0.0535749308764934,0.0
39828,5547089,5547107,56.4993896484375,21.87018585205078,5547107,0.3546128571033478,0.0350467339158058,0.0
39829,5547139,5547147,56.52587890625,21.884471893310547,5547147,0.3537003397941589,0.0204312559217214,0.0
39830,5547189,5547207,56.566856384277344,21.90656471252441,5547207,0.3527230024337768,-0.0016157035715878,0.0
39831,5547239,5547247,56.59381103515625,21.92123413085937,5547247,0.352356880903244,-0.0133794285356998,0.0
39832,5547289,5547307,56.634010314941406,21.943437576293945,5547307,0.3519250154495239,-0.0234986450523138,0.0
39833,5547339,5547347,56.66022491455078,21.958423614501957,5547347,0.3515298962593078,-0.0239148251712322,0.0
39834,5547389,5547407,56.69901657104492,21.9808406829834,5547407,0.3506287634372711,-0.0148155372589826,0.0
39835,5547439,5547447,56.72441482543945,21.99567031860352,5547447,0.3498997688293457,-0.0034354773815721,0.0
39836,5547489,5547507,56.76240921020508,22.018085479736328,5547507,0.3488304018974304,0.0186347030103206,0.0
39837,5547540,5547547,56.7861442565918,22.032564163208008,5547547,0.3482808768749237,0.0336618535220623,0.0
39838,5547589,5547607,56.821685791015625,22.05418586730957,5547607,0.347484290599823,0.0526569001376628,0.0
39839,5547639,5547627,56.8336296081543,22.06131935119629,5547627,0.3472184538841247,0.0573060698807239,0.0
39840,5547689,5547707,56.88273239135742,22.089529037475582,5547707,0.3455948233604431,0.0643441155552864,0.0
39841,5547739,5547727,56.8945426940918,22.096275329589844,5547727,0.3449654579162597,0.0631025657057762,0.0
39842,5547789,5547807,56.94489669799805,22.12356948852539,5547807,0.3417625427246094,0.0473778247833251,0.0
