latitude,longitude,altitude (m),northing (local m),easting (local m),ping number,elapsed (s),datetime,altitude (m above MSL),northing (UTM m),easting (UTM m),coordinate projection
63.44101063,10.34935212,-0.596,50.706,43.042,54220,0.060,2026-04-22T16:44:25.767Z,14.854,7035435.885,567311.294,UTM zone 32N
63.44099918,10.34936825,-0.278,49.431,43.847,54221,0.100,2026-04-22T16:44:25.807Z,15.182,7035434.627,567312.126,UTM zone 32N
63.44100795,10.34935565,-0.619,50.407,43.218,54221,0.100,2026-04-22T16:44:25.807Z,14.841,7035435.590,567311.476,UTM zone 32N
63.44099894,10.34936746,-0.175,49.403,43.808,54222,0.160,2026-04-22T16:44:25.867Z,15.285,7035434.598,567312.087,UTM zone 32N
63.44100821,10.34935473,-0.623,50.436,43.172,54222,0.160,2026-04-22T16:44:25.867Z,14.837,7035435.618,567311.430,UTM zone 32N
63.44100807,10.34935462,-0.623,50.421,43.167,54223,0.200,2026-04-22T16:44:25.907Z,14.847,7035435.602,567311.425,UTM zone 32N
63.44101086,10.34935092,-0.581,50.732,42.982,54223,0.200,2026-04-22T16:44:25.907Z,14.889,7035435.909,567311.234,UTM zone 32N
63.44099413,10.34937087,-0.247,48.867,43.978,54225,0.300,2026-04-22T16:44:26.007Z,15.243,7035434.066,567312.268,UTM zone 32N
63.44099415,10.34936954,-0.186,48.870,43.912,54226,0.360,2026-04-22T16:44:26.067Z,15.314,7035434.067,567312.202,UTM zone 32N
63.44099409,10.34936919,-0.129,48.863,43.894,54227,0.400,2026-04-22T16:44:26.107Z,15.381,7035434.061,567312.184,UTM zone 32N
63.44100993,10.34934995,-0.391,50.629,42.934,54229,0.500,2026-04-22T16:44:26.207Z,15.149,7035435.805,567311.188,UTM zone 32N
63.44100868,10.34935146,-0.661,50.489,43.009,54229,0.500,2026-04-22T16:44:26.207Z,14.879,7035435.667,567311.266,UTM zone 32N
63.44100868,10.34935074,-0.661,50.489,42.973,54230,0.560,2026-04-22T16:44:26.267Z,14.899,7035435.667,567311.230,UTM zone 32N
63.44101477,10.34934411,-0.544,51.168,42.642,54231,0.600,2026-04-22T16:44:26.307Z,15.026,7035436.338,567310.885,UTM zone 32N
63.44101484,10.34934376,-0.013,51.175,42.625,54232,0.660,2026-04-22T16:44:26.367Z,15.577,7035436.345,567310.867,UTM zone 32N
63.44101430,10.34934426,-0.113,51.116,42.650,54232,0.660,2026-04-22T16:44:26.367Z,15.477,7035436.286,567310.894,UTM zone 32N
63.44101464,10.34934383,-0.525,51.153,42.628,54232,0.660,2026-04-22T16:44:26.367Z,15.065,7035436.323,567310.871,UTM zone 32N
